1/11/16 20:43
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	    22764	  179723	                   907978	                         1069986	   267	
Pendientes:       	    19888	  170483	                   858911	                         1014460	   250	
Únicos:           	    18710	  169037	                   853104	                         1007491	   267	
Pendientes únicos:	    17957	  163652	                   824620	                          974754	   250	


Estadísticas por archivo individual:

Nombre de archivo                            	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
Type/CurrentThreadScheduler.pod              	              7	                   0	               5	                          0	               42	                  0	             38	                         0	                               280	                                   0	                             264	                                          0	                                      315	                                          0	                                    297	                                                 0	
Type/Cursor.pod                              	              7	                   3	               5	                          3	               65	                 49	             61	                        49	                               352	                                 268	                             336	                                        268	                                      406	                                        310	                                    388	                                               310	
Type/Date.pod                                	            166	                 161	             136	                        135	             1169	               1155	           1100	                      1094	                              5937	                                5870	                            5566	                                       5538	                                     7101	                                       7027	                                   6694	                                              6663	
Type/Dateish.pod                             	             78	                  75	              55	                         55	              416	                410	            380	                       380	                              2133	                                2104	                            1944	                                       1944	                                     2436	                                       2404	                                   2234	                                              2234	
Type/DateTime.pod                            	            221	                 219	             163	                        163	             1513	               1509	           1328	                      1328	                              8464	                                8442	                            7503	                                       7503	                                     9629	                                       9605	                                   8542	                                              8542	
Type/Duration.pod                            	             12	                  10	              10	                         10	              140	                136	            136	                       136	                               694	                                 678	                             678	                                        678	                                      799	                                        781	                                    781	                                               781	
Type/Exception.pod                           	             92	                  84	              64	                         64	              525	                513	            480	                       480	                              2915	                                2846	                            2670	                                       2670	                                     3294	                                       3218	                                   3029	                                              3029	
Type/Failure.pod                             	             37	                  34	              26	                         26	              224	                218	            206	                       206	                              1212	                                1183	                            1119	                                       1119	                                     1369	                                       1337	                                   1269	                                              1269	
Type/FatRat.pod                              	              9	                   7	               7	                          7	              123	                119	            119	                       119	                               667	                                 651	                             651	                                        651	                                      760	                                        742	                                    742	                                               742	
Type/Grammar.pod                             	             99	                  90	              77	                         77	              510	                504	            484	                       484	                              2764	                                2729	                            2613	                                       2613	                                     3274	                                       3236	                                   3114	                                              3114	
Type/Hash.pod                                	            177	                 165	             142	                        141	             1591	               1577	           1461	                      1459	                              7487	                                7418	                            6935	                                       6928	                                     9125	                                       9048	                                   8439	                                              8431	
Type/Instant.pod                             	             14	                  12	              12	                         12	              122	                118	            118	                       118	                               572	                                 556	                             556	                                        556	                                      659	                                        641	                                    641	                                               641	
Type/Int.pod                                 	             83	                  79	              60	                         60	              457	                450	            402	                       402	                              2244	                                2207	                            1961	                                       1961	                                     2672	                                       2632	                                   2365	                                              2365	
